microbe_id	microbe_tax_id	microbe_name	microbe_tax_level	genus_id	genus_name	family_id	family_name	superking_id	superking_name	if_probiotic	probiotic_use_species	probiotic_research_stage	if_has_abundance							
PMDBM107	n.a.	Bifidobacterium	ruminatum	Species	1678	Bifidobacterium	31953	Bifidobacteriaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM108	41200	Bifidobacterium	sp.	Species	1678	Bifidobacterium	31953	Bifidobacteriaceae	2	Bacteria	Yes	Human	Clinical	trial	No					
PMDBM109	n.a.	Bifidobacterium	spp.	Species	1678	Bifidobacterium	31953	Bifidobacteriaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM113	1532	Blautia	coccoides	Species	572511	Blautia	186803	Lachnospiraceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM115	649762	Blautia	luti	DSM14534	Strain	572511	Blautia	186803	Lachnospiraceae	2	Bacteria	n.a.	n.a.	n.a.	No					
PMDBM116	40520	Blautia	obeum	Species	572511	Blautia	186803	Lachnospiraceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM118	n.a.	Blautia	spp.	Species	572511	Blautia	186803	Lachnospiraceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM120	80840	Burkholderiales	Order	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM124	831	Butyrivibrio	fibrisolvens	Species	830	Butyrivibrio	186803	Lachnospiraceae	2	Bacteria	Yes	Human	Research	No						
PMDBM125	43305	Butyrivibrio	proteoclasticus	Species	830	Butyrivibrio	186803	Lachnospiraceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM126	28121	Butyrivibrio	sp.	Species	830	Butyrivibrio	186803	Lachnospiraceae	2	Bacteria	Yes	Animal	Research	No						
PMDBM130	n.a.	Chaetomium	spp.	Species	5149	Chaetomium	35718	Chaetomiaceae	2759	Eukaryota	n.a.	n.a.	n.a.	No						
PMDBM131	990719	Christensenellaceae	Family	n.a.	n.a.	990719	Christensenellaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM132	35703	Citrobacter	amalonaticus	Species	544	Citrobacter	543	Enterobacteriaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM133	67824	Citrobacter	farmeri	Species	544	Citrobacter	543	Enterobacteriaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM135	508459	Cloacibacillus	n.a.	n.a.	n.a.	649777	Synergistaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM136	186801	Clostridia	Class	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM137	186802	Clostridiales	Order	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM139	n.a.	Clostridiales	unclassified	Species	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM14	135622	Alteromonadales	Order	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM140	1496	Clostridioides	difficile	Species	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM143	208479	Enterocloster	bolteae	Species	n.a.	n.a.	186803	Lachnospiraceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM146	358743	Enterocloster	citroniae	Species	n.a.	n.a.	186803	Lachnospiraceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM15	78352	anaerobic	bacterium	'strain	7'	Species	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No				
PMDBM156	84030	Lacrimispora	saccharolytica	Species	n.a.	n.a.	186803	Lachnospiraceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM159	n.a.	Clostridium	sp.	Species	1485	Clostridium	31979	Clostridiaceae	2	Bacteria	Yes	Animal	Research	No						
PMDBM160	n.a.	Clostridium	sp.	HGH	136	Species	1485	Clostridium	31979	Clostridiaceae	2	Bacteria	n.a.	n.a.	n.a.	No				
