Substance_id	Substance_name	Substance_category	Substance_subcategory	cas_no	id_drugbank	id_pharmgkb	id_kegg	id_ttd	id_pubchem	id_chemspider	id_npass	synonyms	Molecular_formula	inchikey	iupacname	Product_company	Therapeutic_class
PMDBD16	Acetaminophen	Therapeutic Substance; Herbal Substance	Approved Drug; Medicinal Herbal Compounds	103-90-2	DB00316	PA448015	D00217	DAP001436	1983	1906	NPC76327	acetaminophen; Paracetamol; 4-Acetamidophenol; 103-90-2; N-(4-Hydroxyphenyl)acetamide; Tylenol; APAP; Panadol; Acetaminofen; Datril; N-Acetyl-p-aminophenol; p-Hydroxyacetanilide; 4'-Hydroxyacetanilide; p-Acetamidophenol; Naprinol; Lonarid; Algotropyl; Anelix; Multin; Acenol; Acamol; p-Acetaminophenol; Pyrinazine; Injectapap; Clixodyne; Liquagesic; Acetagesic; Gelocatil; Servigesic; Acetalgin; Abensanil; Valadol; Tralgon; Tabalgin; Lestemp; Alvedon; Valgesic; Tussapap; Finimal; Paracet; Homoolan; Febrolin; Febrilix; Febridol; Dymadon; Anaflon; Apamide	C8H9NO2	RZVAJINKPMORJF-UHFFFAOYSA-N	N-(4-hydroxyphenyl)acetamide	Beximco Pharma	Analgesics
PMDBD135	Butyric Acid	Therapeutic Substance	Investigational Drug	107-92-6	DB03568	n.a.	n.a.	n.a.	264	259	n.a.	butyric acid; butanoic acid; n-Butyric acid; 107-92-6; n-Butanoic acid; propylformic acid; ethylacetic acid; Butanic acid; 1-propanecarboxylic acid; butyrate; 1-Butyric acid; Buttersaeure; butanoate; Kyselina maselna; Butyric acid (natural); Propanecarboxylic acid; Buttersaeure [German]; 1-butanoic acid; FEMA Number 2221; Kyselina maselna [Czech]; FEMA No. 2221; HSDB 940; CCRIS 6552; butoic acid; 2-butanoate; NSC 8415; UNII-40UIR9Q29H; UN2820; AI3-15306; EINECS 203-532-3; MFCD00002814; BRN 0906770; CH3-[CH2]2-COOH; 40UIR9Q29H; CHEBI:30772	C4H8O2	FERIUCNNQQJTOY-UHFFFAOYSA-N	butanoic acid	n.a.	n.a.
PMDBD189	Choline	Therapeutic Substance; Herbal Substance	Approved Drug; Medicinal Herbal Compounds	62-49-7	DB00122	PA448976	D07690	n.a.	305	299	NPC136014	choline; Choline ion; Bilineurine; Choline cation; Cholinum; 2-Hydroxy-N,N,N-trimethylethanaminium; 62-49-7; (2-Hydroxyethyl)trimethylammonium; trimethylethanolamine; N-trimethylethanolamine; CCRIS 5847; AI3-24208; UNII-N91BDP6H0X; BRN 1736748; N,N,N-trimethylethanol-ammonium; CHEBI:15354; (beta-hydroxyethyl)trimethylammonium; EINECS 200-535-1; CHEMBL920; N91BDP6H0X; (2-hydroxyethyl)trimethylazanium; 2-hydroxy-N,N,N-trimethyl-ethanaminium; vitamin J; CHT; NSC402838; NCGC00015219-03; C5H14NO	C5H14NO+	OEYIOHPDSNJKLS-UHFFFAOYSA-N	2-hydroxyethyl(trimethyl)azanium	n.a.	n.a.
PMDBD378	Gallic acid	Herbal Substance	Medicinal Herbal Compounds	n.a.	n.a.	n.a.	n.a.	n.a.	370	n.a.	NPC225710	Gallic acid; 3,4,5-Trihydroxybenzoic acid; 149-91-7; gallate; Gallic acid, tech.; GALOP; Pyrogallol-5-carboxylic acid; Kyselina gallova; HSDB 2117; 3,4,5-Trihydroxybenzoate; CCRIS 5523; Kyselina gallova [Czech]; Gallic acid polymer; UNII-632XD903SP; NSC 674319; Gallicum acidum; CHEBI:30778; AI3-16412; Kyselina 3,4,5-trihydroxybenzoova; EINECS 205-749-9; NSC 20103; MFCD00002510; BRN 2050274; Kyselina 3,4,5-trihydroxybenzoova [Czech]; CHEMBL288114; 3,4,5-trihydroxy-Benzoic acid; 632XD903SP; NSC20103; NSC6	C7H6O5	LNTHITQWFMADLM-UHFFFAOYSA-N	3,4,5-trihydroxybenzoic acid	n.a.	n.a.
PMDBD130	Bupropion	Therapeutic Substance	Approved Drug	34911-55-2	DB01156	PA448687	D07591	DAP000052	444	431	n.a.	bupropion; Amfebutamone; 34911-55-2; 2-(tert-butylamino)-1-(3-chlorophenyl)propan-1-one; Amfebutamon; Wellbutrin; (+-)-Bupropion; amfebutamonum; Amfebutamona; 34841-39-9; Bupropion [INN:BAN]; Wellbatrin; Elontril; Amfebutamonum [INN-Latin]; Zyban; Amfebutamona [INN-Spanish]; Bupropion SR; Bupropion hydrocloride; AMFEBUTAMONE HCl; alpha-(tert-butylamino)-m-chloropropiophenone; CHEMBL894; BRN 2101062; (+-)-1-(3-chlorophenyl)-2-((1,1-dimethylethyl)amino)-1-propanone; CHEBI:3219; 1-(3-chlorophenyl)-2-[(1,1-dimethylethyl)amino]propan-1	C13H18ClNO	SNPPWIUOZRMYNY-UHFFFAOYSA-N	2-(tert-butylamino)-1-(3-chlorophenyl)propan-1-one	GlaxoSmithKline plc	n.a.
PMDBD430	Hippuric acid	Environmental Chemicals	Industrial Chemicals and Pollutants; Toxic Agents	n.a.	n.a.	n.a.	n.a.	n.a.	464	n.a.	NPC3371	Hippuric acid; 2-Benzamidoacetic acid; 495-69-2; N-Benzoylglycine; Benzoylglycine; Benzamidoacetic acid; hippurate; Benzoylaminoacetic acid; Hippursaeure; Phenylcarbonylaminoacetic acid; Benzamidoessigsaeure; Benzoylaminoessigsaeure; N-Benzoyl-glycin; (benzoylamino)acetic acid; Bz-Gly-OH; Acido ippurico; Acido ippurico [Italian]; 2-(Phenylformamido)Acetic Acid; NSC 9982; UNII-TE0865N2ET; 66407-11-2; Hippuric acid, 98%; N-(phenylcarbonyl)glycine; EINECS 207-806-3; MFCD00002692; CHEMBL	C9H9NO3	QIAFMBKCNZACKA-UHFFFAOYSA-N	2-benzamidoacetic acid	n.a.	n.a.
PMDBD445	Indole	Therapeutic Substance; Herbal Substance	Investigational Drug	120-72-9	DB04532	n.a.	n.a.	n.a.	798	776	NPC82295	indole; 1H-Indole; 120-72-9; Indol; 2,3-Benzopyrrole; 1-Benzazole; Ketole; 1-Azaindene; Benzopyrrole; 2,3-Benzopyrole; Caswell No. 498B; Indole (natural); Indol [German]; 1-Benzo(b)pyrrole; 1H-Benzo[b]pyrrole; FEMA No. 2593; CCRIS 4421; HSDB 599; EPA Pesticide Chemical Code 025000; Benzo[b]pyrrole; UNII-8724FJW4M5; AI3-01540; NSC 1964; EINECS 204-420-7; CHEMBL15844; CHEBI:16881; 8724FJW4M5; MFCD00005607; NCGC00167539-01; Indole, 99+%; DSSTox_CID_737; DSSTox_RID_75761; DSSTox_GSID_20737; IND; CAS-120-72-9; benzazole; mono-indole; Indole.; 1-H-in	C8H7N	SIKJAQJRHWYJAI-UHFFFAOYSA-N	1H-indole	n.a.	n.a.
PMDBD1392	Pyrazinamide	Therapeutic substance	Drug	98-96-4	DB00339	PA451182	D00144	DAP000660	1046	1017	n.a.	pyrazinamide; pyrazinecarboxamide; 98-96-4; pyrazine-2-carboxamide; pyrazinoic acid amide; Zinamide; 2-Pyrazinecarboxamide; Aldinamide; Aldinamid; Pirazinamid; Pyrazineamide; Tebrazid; Pyrafat; Unipyranamide; pyrazine carboxylamide; Pirazimida; Farmizina; Eprazin; Novamid; 2-Carbamylpyrazine; Pyrazinecarboxylic acid amide; Pirazinamida; Pyrazinamidum; Tisamid; Isopas; Pirazinamide; Pyrazine carboxamide; Pezetamid; Piraldina; D-50; Pirazinamide [DCIT]; MK 56; PZA; Pyrazinamidum [INN-Latin]; NCI-C01785; Pirazinamida [INN-Spanish]; C5H5N3O; D-50 	C5H5N3O	IPEHBUMCGVEMRF-UHFFFAOYSA-N	pyrazine-2-carboxamide	n.a.	n.a.
PMDBD1363	Phenytoin	Therapeutic substance	Drug	57-41-0	DB00252	PA450947	D00512	DAP000130	1775	1710	n.a.	phenytoin; 5,5-DIPHENYLHYDANTOIN; 57-41-0; Diphenylhydantoin; Dilantin; 5,5-diphenylimidazolidine-2,4-dione; Phenytoine; Dihydantoin; Zentropil; Diphenylan; Diphantoin; Dilabid; Aleviatin; Epamin; Lepitoin; Fenylepsin; Diphedan; Sodanton; Phentytoin; Lehydan; Dihycon; Difenin; Diphenylhydatanoin; Sylantoic; Hidantomin; Hidantilo; Diphenine; Thilophenyl; Fenytoine; Elepsindon; Dantoinal; Zentronal; Phenatoine; Hidantina; Diphentyn; Dillantin; Dilantine; Sodantoin; Phanatine; Phanantin; Kessodanten; Hydantoinal; Fenitoina; Epilantin; Ditoinate; Di-Hydan	C15H12N2O2	CXOFVDLJLONNDW-UHFFFAOYSA-N	5,5-diphenylimidazolidine-2,4-dione	n.a.	n.a.
PMDBD1432	Tacrine	Therapeutic substance	Drug	321-64-2	DB00382	PA451576	D08555	DAP000558	1935	1859	n.a.	Tacrine; 1,2,3,4-tetrahydroacridin-9-amine; 321-64-2; Tetrahydroaminacrine; 1,2,3,4-TETRAHYDRO-9-ACRIDINAMINE; Tetrahydroaminoacridine; Cognex; Tetrahydroaminocrin; Tetrahydroaminocrine; 9-amino-1,2,3,4-tetrahydroacridine; Tacrine [INN:BAN]; Tacrinum [INN-Latin]; Tacrina [INN-Spanish]; CS 12602; UNII-4VX7YNB537; 1,2,3,4-Tetrahydro-9-aminoacridine; CHEMBL95; EINECS 206-291-2; 5-Amino-6,7,8,9-tetrahydroacridine (European); 5-Amino-6,7,8,9-tetrahydroacridi	C13H14N2	YLJREFDVOIBQDA-UHFFFAOYSA-N	1,2,3,4-tetrahydroacridin-9-amine	n.a.	n.a.
