<<<<<<< HEAD
Microbe	NCBI_id	Drug	Pubchem_id	Reference
Fusobacterium nucleatum	851	Oxaliplatin	6857599	MADET
Fusobacterium nucleatum	851	5-FU	3385	MADET
Erysipelotrichaceae	128827	Oxaliplatin	6857599	MADET
Negativicutes	909932	Oxaliplatin	6857599	MADET
Prevotella	838	Oxaliplatin	6857599	MADET
Bacteroides fragilis	817	Oxaliplatin	6857599	MADET
Prevotella oryzae	185293	Oxaliplatin	6857599	MADET
Parabacteroides johnsonii	387661	Oxaliplatin	6857599	MADET
Clostridium colinum	36835	Oxaliplatin	6857599	MADET
Prevotella oralis	28134	Oxaliplatin	6857599	MADET
Leptospiraceae	170	Oxaliplatin	6857599	MADET
Eubacteriaceae	186806	Oxaliplatin	6857599	MADET
Micrococcaceae	1268	Oxaliplatin	6857599	MADET
Roseburia faecis	301302	Oxaliplatin	6857599	MADET
Ruminococcaceae	216572	taxane	9548828	MADET
Catenibacterium	135858	taxane	9548828	MADET
Ruminococcus	1263	taxane	9548828	MADET
Adlercreutzia	447020	taxane	9548828	MADET
Proteobacteria	1224	taxane	9548828	MADET
Megasphaera	906	taxane	9548828	MADET
Deltaproteobacteria	28221	taxane	9548828	MADET
Desulfovibrionaceae	194924	taxane	9548828	MADET
Desulfovibrionales	213115	taxane	9548828	MADET
Desulfovibrio	872	taxane	9548828	MADET
Veillonella	29465	taxane	9548828	MADET
Paraprevotella	577309	taxane	9548828	MADET
Anaerostipes	207244	taxane	9548828	MADET
Burkholderiales	80840	taxane	9548828	MADET
Anaerotruncus	244127	taxane	9548828	MADET
Betaproteobacteria	28216	taxane	9548828	MADET
Sutterella	40544	taxane	9548828	MADET
Pseudoramibacter	113286	taxane	9548828	MADET
Eubacteriaceae	186806	taxane	9548828	MADET
Eubacterium	1730	taxane	9548828	MADET
Serratia	2985502	taxane	9548828	MADET
Sarcina	1266	taxane	9548828	MADET
Staphylococcus	1279	taxane	9548828	MADET
Staphylococcaceae	90964	taxane	9548828	MADET
Peptococcaceae	186807	taxane	9548828	MADET
Peptococcus	2740	taxane	9548828	MADET
Bacillales	1385	taxane	9548828	MADET
Pasteurellales	135625	taxane	9548828	MADET
Haemophilus	724	taxane	9548828	MADET
Pasteurellaceae	712	taxane	9548828	MADET
Turicibacter	191303	taxane	9548828	MADET
Turicibacteraceae	2810281	taxane	9548828	MADET
Eggerthella	84111	taxane	9548828	MADET
Actinobacteria	201174	taxane	9548828	MADET
Bifidobacterium	1678	taxane	9548828	MADET
Bifidobacteriales	85004	taxane	9548828	MADET
Bifidobacteriaceae	31953	taxane	9548828	MADET
Streptococcaceae	1300	taxane	9548828	MADET
Streptococcus	1301	taxane	9548828	MADET
Lactobacillales	186826	taxane	9548828	MADET
Coriobacteriales	84999	taxane	9548828	MADET
Coriobacteriaceae	84107	taxane	9548828	MADET
Collinsella	102106	taxane	9548828	MADET
Bacteroidales	171549	taxane	9548828	MADET
Bacteroidetes	200643	taxane	9548828	MADET
Bacteroides	816	taxane	9548828	MADET
Veillonellaceae	31977	taxane	9548828	MADET
Prevotellaceae	171552	taxane	9548828	MADET
Prevotella	838	taxane	9548828	MADET
Faecalibacterium	216851	taxane	9548828	MADET
Actinomycetales	2037	taxane	9548828	MADET
Dialister	39948	taxane	9548828	MADET
Odoribacteraceae	1853231	taxane	9548828	MADET
Acidaminococcus	904	taxane	9548828	MADET
Coprobacillus	100883	taxane	9548828	MADET
Coprococcus	33042	taxane	9548828	MADET
Lachnospiraceae	186803	taxane	9548828	MADET
Dorea	189330	taxane	9548828	MADET
Dehalobacterium	51514	taxane	9548828	MADET
Staphylococcus	1279	oxaliplatin	6857599	MADET
Jeotgalicoccus	227979	oxaliplatin	6857599	MADET
Sphingomonas	13687	oxaliplatin	6857599	MADET
Akkermansia muciniphila	239935	oxaliplatin	6857599	MADET
Enterobacteriaceae	543	Biguanides	5939	PMID: 35788347
Escherichia	561	Biguanides	5939	PMID: 35788347
Intestinibacter	1505657	Biguanides	5939	PMID: 35788347
Lactobacillus	1578	Biguanides	5939	PMID: 35788347
Collinsella	102106	Biguanides	5939	PMID: 35788347
Bacillus	55087	Biguanides	5939	PMID: 35788347
Citrobacter	544	Biguanides	5939	PMID: 35788347
Enterobacter	547	Biguanides	5939	PMID: 35788347
Klebsiella	570	Biguanides	5939	PMID: 35788347
Salmonella	590	Biguanides	5939	PMID: 35788347
Barnesiellaceae	2005519	Biguanides	5939	PMID: 35788347
Ruminococcaceae	216572	Biguanides	5939	PMID: 35788347
Clostridiaceae	31979	Biguanides	5939	PMID: 35788347
Christensenellaceae	990719	Biguanides	5939	PMID: 35788347
Clostridia	186801	Biguanides	5939	PMID: 35788347
Coprococcus	33042	Biguanides	5939	PMID: 35788347
Bacteroides	816	Biguanides	5939	PMID: 35788347
Clostridium	1485	Biguanides	5939	PMID: 35788347
Bacteroides	816	Lansoprazole	3883	PMID: 35788347
Streptococcus	1301	Lansoprazole	3883	PMID: 35788347
Carnobacterium	2747	Lansoprazole	3883	PMID: 35788347
Oribacterium	265975	Lansoprazole	3883	PMID: 35788347
Veillonella	29465	Omeprazole	4594	PMID: 35788347
Streptococcus	1301	Omeprazole	4594	PMID: 35788347
Enterococcaceae	81852	Omeprazole	4594	PMID: 35788347
Streptococcaceae	1300	Omeprazole	4594	PMID: 35788347
Staphylococcaceae	90964	Omeprazole	4594	PMID: 35788347
Micrococcaceae	1268	Omeprazole	4594	PMID: 35788347
Clostridiaceae	31979	Omeprazole	4594	PMID: 35788347
Actinomyces	1654	Vonoprazan Fumarate	45375887	PMID: 35788347
Rothia	508215	Vonoprazan Fumarate	45375887	PMID: 35788347
Bacteroides	816	Vonoprazan Fumarate	45375887	PMID: 35788347
Granulicatella	117563	Vonoprazan Fumarate	45375887	PMID: 35788347
Streptococcus	1301	Vonoprazan Fumarate	45375887	PMID: 35788347
Holdemania	61170	Vonoprazan Fumarate	45375887	PMID: 35788347
Blautia	572511	Vonoprazan Fumarate	45375887	PMID: 35788347
Coprococcus	33042	Vonoprazan Fumarate	45375887	PMID: 35788347
Ruminococcus	1263	Lubiprostone	157920	PMID: 35788347
Adlercreutzia	447020	Lubiprostone	157920	PMID: 35788347
Anaerotruncus	244127	Lubiprostone	157920	PMID: 35788347
Faecalibacterium	216851	Mesalazine	4075	PMID: 35788347
Parabacteroides	375288	Mesalazine	4075	PMID: 35788347
faecalibacterium	216851	Ursodeoxycholic Acid	31401	PMID: 35788347
Streptococcus	1301	Ursodeoxycholic Acid	31401	PMID: 35788347
Escherichia	561	Ursodeoxycholic Acid	31401	PMID: 35788347
Bilophila	35832	Ursodeoxycholic Acid	31401	PMID: 35788347
Bacteroidetes	200643	Ursodeoxycholic Acid	31401	PMID: 35788347
Sutterella	40544	Ursodeoxycholic Acid	31401	PMID: 35788347
Oscillospira	119852	Ursodeoxycholic Acid	31401	PMID: 35788347
Ruminococcus	1263	Ursodeoxycholic Acid	31401	PMID: 35788347
Fusobacterium	848	Ursodeoxycholic Acid	31401	PMID: 35788347
Haemophilus	724	Ursodeoxycholic Acid	31401	PMID: 35788347
Pseudomonas	286	Ursodeoxycholic Acid	31401	PMID: 35788347
Lactobacillus	1578	Acarbose	9811704	PMID: 35788347
Subdoligranulum	292632	Acarbose	9811704	PMID: 35788347
Allisonella	209879	Acarbose	9811704	PMID: 35788347
Megasphaera	906	Acarbose	9811704	PMID: 35788347
Dialister	39948	Acarbose	9811704	PMID: 35788347
Bifidobacterium	1678	Acarbose	9811704	PMID: 35788347
Streptococcus	1301	Acarbose	9811704	PMID: 35788347
