<<<<<<< HEAD
Ankylosing spondylitis	D013167
Non-alcoholic fatty liver disease	D065626
Type i diabetes mellitus	Error
Cirrhosis of liver	Error
Viral encephalitis	D018792
Atrophic vaginitis	D059268
Hepatitis, alcoholic	D006519
Hiv infection	D015658
Infection	D007239
Crohn's disease	D003424
Atherosclerosis	D050197
Celiac disease	D002446
Chronic obstructive pulmonary disease	D029424
Pancreatic carcinoma	Error
Hashimoto's thyroiditis	Error
Aggressive periodontitis	D010520
Cutaneous burn	Error
Hepatitis c infection	Error
Ulcerative colitis	D003093
Kaposi's sarcoma	D012514
Colorectal cancer	D015179
Parkinson's disease	D010300
Epiglottitis	D004826
Virus respiratory tract infection	Error
Type 2 diabetes	D003924
Autism spectrum disorder	D000067
Mouth neoplasm	D009062
Bacteriemia	Error
Autism	D001321
Behcet's syndrome	D001528
Multiple sclerosis	D009103
Atopic eczema	Error
Alcoholic pancreatitis	D019512
Bacteria vaginosis	Error
Rabies	Error
Cystic fibrosis associated meconium ileum	Error
Pelvic inflammatory disease	D000292
Granulomatous dermatitis	Error
Herpes simplex infection	Error
Erysipelas	D004886
Idiopathic pulmonary fibrosis	D054990
Oral tuberculosis	D014393
Cystic fibrosis	D003550
Pervasive developmental disorder - not otherwise specified	Error
Dental caries	D003731
Urinary tract infection	D014552
Periodontitis	D010518
Viral pneumonia	D011024
Encephalopathy	D001927
Trench fever	D014205
Skin and soft tissue staphylococcus aureus infection	Error
Rheumatoid arthritis	Error
Psoriasis	D011565
Dacryocystitis - osteopoikilosis	Error
Ischemia	D007511
Lymphoproliferative disease	Error
Azoospermia	D053713
European foulbrood	Error
Diarrhea	D003967
Eye infection	D015817
Urgency urinary incontinence	Error
Gastroenteritis	Error
Primary biliary cirrhosis	D008105
Shigellosis	D004405
Necrotizing ulcerative gingivitis	Error
Hepatitis b infection	Error
Heart failure	D006333
Endocarditis	D004696
Pouchitis	D019449
Eumycotic mycetoma	Error
Aids	D000163
Opisthorchiasis	D009889
Skin wound	Error
Myofascial pain syndrome	D009209
Interstitial cystitis	D018856
Laryngeal squamous cell carcinoma	D000077
Ostomyelitis	Error
